price,sold,tagText,shipping_price,tagText_encoded,final_price,log_sold,adjustable,and,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,drawer,drawers,dresser,dressing,end,fabric,folding,for,frame,furniture,gaming,garden,glass,hanging,home,household,inch,kitchen,large,leather,led,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,of,office,organizer,ottoman,outdoor,patio,piece,pieces,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,side,simple,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,top,tv,up,upholstered,vanity,velvet,wardrobe,white,wicker,with,wood,wooden
46.79,600,Free shipping,0.0,1,46.79,6.398594934535208,0.0,0.0,0.0,0.18972833349588267,0.0,0.0,0.0,0.2436545846189425,0.0,0.0,0.0,0.0,0.0,0.28516713008642003,0.3431134189371028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21091532241934507,0.25493936176390164,0.0,0.0,0.2824177579430896,0.0,0.31636699756884107,0.2771943782531883,0.16624683243066138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26208920826124316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3301167556405698,0.0,0.17256516778087133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999133185567388,0.0,0.0,0.11996657916865387,0.0,0.0
169.72,0,Free shipping,0.0,1,169.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24295826673482215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32484638673801186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18636519647155342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540479780939751,0.5281240099100838,0.0,0.34331466873724353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439553107004062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2369237682107103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000899974760825,0.0,0.0,0.0
39.46,7,Free shipping,0.0,1,39.46,2.0794415416798357,0.0,0.0,0.0,0.20032025996523856,0.0,0.0,0.0,0.2572570413350939,0.0,0.0,0.0,0.0,0.3241291618776492,0.3010870995379946,0.36226834449338485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22269005076467507,0.0,0.0,0.0,0.2981842387351557,0.0,0.3340287559042284,0.0,0.17552786174464682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21006025442726245,0.0,0.0,0.0,0.0,0.0,0.0,0.2767208110965415,0.0,0.2776040713501373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1970919110123672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18219892956346093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12666392985909317,0.0,0.0
111.99,0,Free shipping,0.0,1,111.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010196780881427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33290706715225354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1828376862309092,0.0,0.1921577561403233,0.0,0.0,0.0,0.0,0.27718850548150614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22996182340402258,0.4007737430197283,0.0,0.0,0.0,0.23707068986633292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21576483070614164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24428777764108603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33915918194970857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.37,1,Free shipping,0.0,1,21.37,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27015892541902214,0.0,0.0,0.0,0.2032456525859701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14735297659146376,0.0,0.0,0.0,0.0,0.2125573912812161,0.301053504473332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23341815898382723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26523130758705615,0.46683631796765446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28615521920562115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5509319033665363
123.4,53,Free shipping,0.0,1,123.4,3.988984046564274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24024139673883826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184281175963036,0.0,0.0,0.33096080023844615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512070978946722,0.2611091433464071,0.0,0.3394755677459139,0.0,0.0,0.0,0.3067060547976903,0.0,0.0,0.0,0.0,0.434637823963439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178934357225014,0.0,0.36267291915976246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967342544458298,0.1329804722425787,0.0,0.0
198.31,1,Free shipping,0.0,1,198.31,0.6931471805599453,0.0,0.18080141475096004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27520437718372737,0.0,0.28822204248796146,0.28646994090312344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165353717229498,0.0,0.0,0.29696792572917763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45081139963693684,0.23429070945150995,0.29372974695354265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727476254225001,0.389996316581519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605560684785392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11932209184868171,0.0,0.0
734.58,5,Free shipping,0.0,1,734.58,1.791759469228055,0.0,0.2373855641240432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283030548065293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171033091671285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598150282659526,0.0,0.0,0.0,0.0,0.26784675419986576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38565628358950077,0.0,0.0,0.0,0.0,0.0,0.2437750090815033,0.0,0.0,0.0,0.25602536281456634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760007505303825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3831881794140422,0.0,0.42479008656364065,0.0,0.0,0.0,0.0,0.0,0.0
233.3,0,Free shipping,0.0,1,233.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24655688103667714,0.0,0.0,0.2566497519502815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29628232810198435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058260433629891,0.4198042717879437,0.0,0.27289985268402356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24435586571152781,0.1746997566247604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14384292822912442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23854068456903021,0.0,0.0,0.0
244.17,1,Free shipping,0.0,1,244.17,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469672210425806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18940132668228693,0.0,0.19905597525066437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27134770331259006,0.28204364826774303,0.0,0.3666931245597777,0.0,0.0,0.0,0.3312963059519654,0.0,0.0,0.0,0.3283388210766714,0.23474252179512617,0.0,0.39891947861398663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25305739823821616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1436422220186504,0.0,0.0
